IND_ID,Strain_ID
IND804,HpGP-SPA-111
IND805,B45
IND806,HpGP-GER-010
IND807,HpGP-BGR-005
IND808,HpGP-SGP-005
IND809,HPJ156
IND810,HpGP-MEX-009
IND811,HpGP-COL-112
IND812,HN-G257
IND813,HpGP-CHI-021
IND814,HpGP-CHI-103
IND815,HpGP-IDN-003
IND816,HpGP-MEX-027
IND817,Keto60
IND818,HpGP-LAT-003
IND819,HpGP-CAN-023
IND820,HpGP-COL-302
IND821,HpGP-LIT-041
IND822,HpGP-SGP-008
IND823,HpGP-SPA-010
IND824,HpGP-SPA-704
IND825,HpGP-SWT-001
IND826,HpGP-CHN-009
IND827,B40
IND828,HpGP-POR-110
IND829,HpGP-GTM-004
IND830,MX-2004-125
IND831,Tuvac80
IND832,HpGP-NPL-009
IND833,HpGP-JAP-012
IND834,HpGP-COL-114
IND835,HpGP-KGZ-005
IND836,HpGP-POR-001
IND837,Puno120
IND838,HpGP-KOR-024
IND839,NP05-107
IND840,K26A1
IND841,HpGP-GRE-039
IND842,HpGP-ZAF-007
IND843,HpGP-FRA-011
IND844,HpGP-BRA-009
IND845,22093
IND846,HpGP-COL-119
IND847,HpGP-PER-106
IND848,HpGP-ISL-004
IND849,HpGP-MEX-040
IND850,HpGP-KOR-051
IND851,HpGP-SPA-013
IND852,HpGP-CHI-106
IND853,HpGP-COL-003
IND854,HpGP-JAP-017
IND855,HpGP-MEX-001
IND856,HpGP-BGD-002
IND857,HpGP-BRA-006
IND858,HpGP-JAP-112
IND859,HpGP-MEX-035
IND860,SA35C
IND861,HpGP-GRE-040
IND862,HpGP-ITA-005
IND863,HpGP-COL-006
IND864,HpGP-KOR-048
IND865,HpGP-PER-130
IND866,HpGP-CHI-006
IND867,HpGP-KOR-021
IND868,HP13005
IND869,HpGP-POR-007
IND870,GAM201Ai
IND871,HpGP-BRA-002
IND872,HpGP-JAP-111
IND873,HpGP-JAP-108
IND874,Khanty27
IND875,HpGP-ZAF-008
IND876,HpGP-ARG-004
IND877,HpGP-HON-026
IND878,HpGP-MEX-043
IND879,HpGP-PER-105
IND880,HpGP-SPA-606
IND881,HpGP-ISL-005
IND882,HpGP-LAT-020
IND883,HpGP-FRA-013
IND884,HpGP-USA-408
IND885,HE-NC32-5
IND886,HpGP-IND-005
IND887,HpGP-LAT-004
IND888,HpGP-MAL-020
IND889,Nentsy29
IND890,HpGP-LIT-002
IND891,HpGP-GER-018
IND892,HpGP-MEX-012
IND893,HpGP-SWE-006
IND894,HpGP-TWN-027
IND895,HpGP-MAL-016
IND896,HpGP-POR-115
IND897,HpGP-ITA-027
IND898,HpGP-SPA-702
IND899,HpGP-SGP-003
IND900,HpGP-MAL-019
IND901,HpGP-USA-413
IND902,HpGP-POR-111
IND903,HpGP-KOR-004
IND904,HpGP-POR-102
IND905,HpGP-SPA-307
IND906,HpGP-SWT-004
IND907,HpGP-LIT-035
IND908,HpGP-CHN-010
IND909,HpGP-GER-020
IND910,34320
IND911,HpGP-JAP-103
IND912,HpGP-KOR-117
IND913,Neuguinea12
IND914,ES-10
IND915,Pt-8186
IND916,HpGP-SPA-607
IND917,HpGP-MMR-010
IND918,HpGP-POR-104
